subj,phase,trial,stim,stim_type,f1,f2,c,resp,corr,rt,f1_is,e_is
x101,learn,161,L11,learn,0.64,0,1,1,1,2.76263,angle,0
x101,learn,162,L2,learn,0.452544,0.452544,1,0,0,1.18849,angle,0
x101,learn,163,L20,learn,0.10352,0.38636,1,1,1,1.039365,angle,0
x101,learn,164,L24,learn,-0.62,1.07384,0,0,1,0.77061,angle,0
x101,learn,165,L4,learn,-0.452544,0.452544,1,1,1,1.873815,angle,0
x101,learn,166,L16,learn,0,0.64,1,0,0,1.688545,angle,0
x101,learn,167,L9,learn,0,-0.64,1,1,1,1.79292,angle,0
x101,learn,168,L29,learn,-1.84,0,0,1,0,1.187765,angle,0
x101,learn,169,L21,learn,-1.301064,-1.301064,0,0,1,0.770175,angle,0
x101,learn,170,L13,learn,-0.62,-1.07384,0,0,1,0.764235,angle,0
x101,learn,171,L17,learn,-0.452544,-0.452544,1,1,1,1.222525,angle,0
x101,learn,172,L32,learn,0.10352,-0.38636,1,1,1,1.277445,angle,0
x101,learn,173,L31,learn,0.38636,-0.10352,1,1,1,0.850445,angle,0
x101,learn,174,L6,learn,0.62,-1.07384,0,0,1,0.905495,angle,0
x101,learn,175,L5,learn,1.07384,0.62,0,0,1,1.626825,angle,0
x101,learn,176,L28,learn,-0.64,0,1,1,1,0.854595,angle,0
x101,learn,177,L12,learn,0.452544,-0.452544,1,1,1,1.475845,angle,0
x101,learn,178,L26,learn,-1.07384,0.62,0,0,1,1.473515,angle,0
x101,learn,179,L18,learn,-0.38636,0.10352,1,1,1,1.123085,angle,0
x101,learn,180,L3,learn,0.62,1.07384,0,0,1,1.10437,angle,0
x101,learn,181,L8,learn,1.84,0,0,1,0,4.723745,angle,0
x101,learn,182,L27,learn,1.301064,-1.301064,0,0,1,0.853225,angle,0
x101,learn,183,L23,learn,1.301064,1.301064,0,0,1,1.050365,angle,0
x101,learn,184,L7,learn,-0.10352,0.38636,1,1,1,0.753865,angle,0
x101,learn,185,L1,learn,-0.38636,-0.10352,1,1,1,1.457705,angle,0
x101,learn,186,L10,learn,0,1.84,0,0,1,0.80373,angle,0
x101,learn,187,L25,learn,-1.07384,-0.62,0,1,0,1.25807,angle,0
x101,learn,188,L14,learn,0.38636,0.10352,1,1,1,3.583865,angle,0
x101,learn,189,L30,learn,0,-1.84,0,0,1,1.022685,angle,0
x101,learn,190,L15,learn,-1.301064,1.301064,0,0,1,1.975065,angle,0
x101,learn,191,L19,learn,-0.10352,-0.38636,1,1,1,2.32606,angle,0
x101,learn,192,L22,learn,1.07384,-0.62,0,1,0,0.690745,angle,0
x101,learn,193,L27,learn,1.301064,-1.301064,0,0,1,1.089015,angle,0
x101,learn,194,L23,learn,1.301064,1.301064,0,0,1,0.9794,angle,0
x101,learn,195,L29,learn,-1.84,0,0,0,1,6.565835,angle,0
x101,learn,196,L32,learn,0.10352,-0.38636,1,1,1,0.99635,angle,0
x101,learn,197,L1,learn,-0.38636,-0.10352,1,1,1,0.904605,angle,0
x101,learn,198,L24,learn,-0.62,1.07384,0,0,1,0.652695,angle,0
x101,learn,199,L7,learn,-0.10352,0.38636,1,0,0,1.7373,angle,0
x101,learn,200,L8,learn,1.84,0,0,1,0,1.258845,angle,0
x101,learn,201,L15,learn,-1.301064,1.301064,0,0,1,3.89083,angle,0
x101,learn,202,L14,learn,0.38636,0.10352,1,1,1,2.41414,angle,0
x101,learn,203,L25,learn,-1.07384,-0.62,0,1,0,2.05592,angle,0
x101,learn,204,L28,learn,-0.64,0,1,0,0,3.500575,angle,0
x101,learn,205,L31,learn,0.38636,-0.10352,1,1,1,1.585635,angle,0
x101,learn,206,L26,learn,-1.07384,0.62,0,0,1,1.99376,angle,0
x101,learn,207,L20,learn,0.10352,0.38636,1,1,1,2.26167,angle,0
x101,learn,208,L5,learn,1.07384,0.62,0,1,0,1.28383,angle,0
x101,learn,209,L2,learn,0.452544,0.452544,1,1,1,1.10824,angle,0
x101,learn,210,L17,learn,-0.452544,-0.452544,1,0,0,4.5404,angle,0
x101,learn,211,L30,learn,0,-1.84,0,0,1,0.703415,angle,0
x101,learn,212,L19,learn,-0.10352,-0.38636,1,1,1,1.105775,angle,0
x101,learn,213,L3,learn,0.62,1.07384,0,0,1,1.560895,angle,0
x101,learn,214,L12,learn,0.452544,-0.452544,1,1,1,2.522735,angle,0
x101,learn,215,L16,learn,0,0.64,1,1,1,4.840705,angle,0
x101,learn,216,L9,learn,0,-0.64,1,0,0,2.662915,angle,0
x101,learn,217,L22,learn,1.07384,-0.62,0,0,1,1.29217,angle,0
x101,learn,218,L13,learn,-0.62,-1.07384,0,1,0,2.96537,angle,0
x101,learn,219,L10,learn,0,1.84,0,0,1,0.73729,angle,0
x101,learn,220,L11,learn,0.64,0,1,1,1,0.820085,angle,0
x101,learn,221,L4,learn,-0.452544,0.452544,1,0,0,1.257535,angle,0
x101,learn,222,L21,learn,-1.301064,-1.301064,0,0,1,0.987595,angle,0
x101,learn,223,L6,learn,0.62,-1.07384,0,0,1,0.73752,angle,0
x101,learn,224,L18,learn,-0.38636,0.10352,1,1,1,2.663845,angle,0
x101,learn,225,L9,learn,0,-0.64,1,1,1,5.02352,angle,0
x101,learn,226,L18,learn,-0.38636,0.10352,1,1,1,2.063575,angle,0
x101,learn,227,L22,learn,1.07384,-0.62,0,0,1,2.706575,angle,0
x101,learn,228,L17,learn,-0.452544,-0.452544,1,1,1,2.008575,angle,0
x101,learn,229,L30,learn,0,-1.84,0,0,1,0.70213,angle,0
x101,learn,230,L24,learn,-0.62,1.07384,0,0,1,0.918115,angle,0
x101,learn,231,L1,learn,-0.38636,-0.10352,1,1,1,1.00537,angle,0
x101,learn,232,L29,learn,-1.84,0,0,1,0,2.51222,angle,0
x101,learn,233,L25,learn,-1.07384,-0.62,0,1,0,2.186555,angle,0
x101,learn,234,L14,learn,0.38636,0.10352,1,1,1,2.188395,angle,0
x101,learn,235,L26,learn,-1.07384,0.62,0,0,1,1.438255,angle,0
x101,learn,236,L19,learn,-0.10352,-0.38636,1,1,1,1.371795,angle,0
x101,learn,237,L15,learn,-1.301064,1.301064,0,0,1,0.78832,angle,0
x101,learn,238,L13,learn,-0.62,-1.07384,0,0,1,1.175275,angle,0
x101,learn,239,L3,learn,0.62,1.07384,0,0,1,0.78486,angle,0
x101,learn,240,L21,learn,-1.301064,-1.301064,0,0,1,3.834645,angle,0
x101,learn,241,L12,learn,0.452544,-0.452544,1,1,1,1.15868,angle,0
x101,learn,242,L8,learn,1.84,0,0,0,1,1.339755,angle,0
x101,learn,243,L6,learn,0.62,-1.07384,0,0,1,2.32533,angle,0
x101,learn,244,L27,learn,1.301064,-1.301064,0,0,1,0.82283,angle,0
x101,learn,245,L4,learn,-0.452544,0.452544,1,0,0,0.839335,angle,0
x101,learn,246,L32,learn,0.10352,-0.38636,1,1,1,2.07039,angle,0
x101,learn,247,L5,learn,1.07384,0.62,0,0,1,0.888465,angle,0
x101,learn,248,L11,learn,0.64,0,1,1,1,4.940415,angle,0
x101,learn,249,L31,learn,0.38636,-0.10352,1,1,1,0.813585,angle,0
x101,learn,250,L10,learn,0,1.84,0,0,1,0.67131,angle,0
x101,learn,251,L28,learn,-0.64,0,1,1,1,1.472135,angle,0
x101,learn,252,L16,learn,0,0.64,1,0,0,2.199835,angle,0
x101,learn,253,L23,learn,1.301064,1.301064,0,0,1,1.50577,angle,0
x101,learn,254,L7,learn,-0.10352,0.38636,1,0,0,2.07078,angle,0
x101,learn,255,L20,learn,0.10352,0.38636,1,1,1,0.56224,angle,0
x101,learn,256,L2,learn,0.452544,0.452544,1,1,1,0.567465,angle,0
x101,learn,257,L17,learn,-0.452544,-0.452544,1,1,1,1.674045,angle,0
x101,learn,258,L24,learn,-0.62,1.07384,0,0,1,0.870945,angle,0
x101,learn,259,L22,learn,1.07384,-0.62,0,1,0,0.937555,angle,0
x101,learn,260,L11,learn,0.64,0,1,1,1,0.57185,angle,0
x101,learn,261,L21,learn,-1.301064,-1.301064,0,0,1,2.54632,angle,0
x101,learn,262,L29,learn,-1.84,0,0,1,0,1.3873,angle,0
x101,learn,263,L6,learn,0.62,-1.07384,0,0,1,1.71268,angle,0
x101,learn,264,L15,learn,-1.301064,1.301064,0,0,1,0.63531,angle,0
x101,learn,265,L3,learn,0.62,1.07384,0,0,1,1.003125,angle,0
x101,learn,266,L12,learn,0.452544,-0.452544,1,1,1,1.13919,angle,0
x101,learn,267,L23,learn,1.301064,1.301064,0,0,1,0.635425,angle,0
x101,learn,268,L28,learn,-0.64,0,1,0,0,3.494405,angle,0
x101,learn,269,L9,learn,0,-0.64,1,1,1,1.18793,angle,0
x101,learn,270,L27,learn,1.301064,-1.301064,0,0,1,1.40989,angle,0
x101,learn,271,L7,learn,-0.10352,0.38636,1,0,0,1.624025,angle,0
x101,learn,272,L30,learn,0,-1.84,0,0,1,1.740395,angle,0
